Receiver,FISHID,x_plane,y_plane,Total.Length,Sex,Year,Month,Month.NUM,Day.of.month,Time,Year.3,Date,Day.of.year,Time.Hr,Hour.of.year,Day,location,Rec_Group,water_feature_type
109393,1582,392356,5792694,470,m,2011,January,1,1,1,2011,01/01/2011,1,1,1,40544,Mouth of Foster Creek,Foster Creek to Hugh Allan,delta
109378,1622,400596,5781042,537,f,2011,January,1,1,1,2011,01/01/2011,1,1,1,40544,West Islands (replaced with 105468),Confluence,Reservoir
109770,1740,436924,5756670,660,m,2011,January,1,1,1,2011,01/01/2011,1,1,1,40544,Head of Sullivan Creek,Columbia Reach Narrows to Kinbasket,Alluvial valley
109374,1966,405691,5772105,804,m,2011,January,1,1,1,2011,01/01/2011,1,1,1,40544,NE Red rock harbour,Confluence,Reservoir
109769,1766,433698,5754232,536,f,2011,January,1,1,1,2011,01/01/2011,1,2,2,40544,Mouth of Sullivan Creek,Columbia Reach Narrows to Kinbasket,delta
109378,1622,400596,5781042,537,f,2011,January,1,1,1,2011,01/01/2011,1,3,3,40544,West Islands (replaced with 105468),Confluence,Reservoir
109770,1740,436924,5756670,660,m,2011,January,1,1,1,2011,01/01/2011,1,3,3,40544,Head of Sullivan Creek,Columbia Reach Narrows to Kinbasket,Alluvial valley
109393,1582,392356,5792694,470,m,2011,January,1,1,1,2011,01/01/2011,1,5,5,40544,Mouth of Foster Creek,Foster Creek to Hugh Allan,delta
109393,1582,392356,5792694,470,m,2011,January,1,1,1,2011,01/01/2011,1,6,6,40544,Mouth of Foster Creek,Foster Creek to Hugh Allan,delta
109393,1582,392356,5792694,470,m,2011,January,1,1,1,2011,01/01/2011,1,7,7,40544,Mouth of Foster Creek,Foster Creek to Hugh Allan,delta
109369,1944,401855,5772877,620,f,2011,January,1,1,1,2011,01/01/2011,1,7,7,40544,Red rock (middle),Confluence,Reservoir
109386,1596,398223,5774034,740,f,2011,January,1,1,1,2011,01/01/2011,1,8,8,40544,South outer forebay,Confluence,Reservoir
109369,1944,401855,5772877,620,f,2011,January,1,1,1,2011,01/01/2011,1,8,8,40544,Red rock (middle),Confluence,Reservoir
109369,1944,401855,5772877,620,f,2011,January,1,1,1,2011,01/01/2011,1,9,9,40544,Red rock (middle),Confluence,Reservoir
109369,1944,401855,5772877,620,f,2011,January,1,1,1,2011,01/01/2011,1,10,10,40544,Red rock (middle),Confluence,Reservoir
109370,1748,404815,5778642,616,f,2011,January,1,1,1,2011,01/01/2011,1,11,11,40544,Mouth of Wood Arm,Confluence,delta
109369,1944,401855,5772877,620,f,2011,January,1,1,1,2011,01/01/2011,1,11,11,40544,Red rock (middle),Confluence,Reservoir
109369,1944,401855,5772877,620,f,2011,January,1,1,1,2011,01/01/2011,1,12,12,40544,Red rock (middle),Confluence,Reservoir
109370,1748,404815,5778642,616,f,2011,January,1,1,1,2011,01/01/2011,1,13,13,40544,Mouth of Wood Arm,Confluence,delta
109369,1944,401855,5772877,620,f,2011,January,1,1,1,2011,01/01/2011,1,13,13,40544,Red rock (middle),Confluence,Reservoir
109370,1636,404815,5778642,560,m,2011,January,1,1,1,2011,01/01/2011,1,17,17,40544,Mouth of Wood Arm,Confluence,delta
109374,1680,405691,5772105,640,m,2011,January,1,1,1,2011,01/01/2011,1,17,17,40544,NE Red rock harbour,Confluence,Reservoir
109370,1748,404815,5778642,616,f,2011,January,1,1,1,2011,01/01/2011,1,17,17,40544,Mouth of Wood Arm,Confluence,delta
109370,1636,404815,5778642,560,m,2011,January,1,1,1,2011,01/01/2011,1,18,18,40544,Mouth of Wood Arm,Confluence,delta
109391,1726,401896,5781275,621,f,2011,January,1,1,1,2011,01/01/2011,1,20,20,40544,Molson Creek (replaced),Confluence,Reservoir
109372,1970,403287,5772706,555,f,2011,January,1,1,1,2011,01/01/2011,1,21,21,40544,SE Red rock,Confluence,Reservoir
109370,1636,404815,5778642,560,m,2011,January,1,1,1,2011,01/01/2011,1,22,22,40544,Mouth of Wood Arm,Confluence,delta
109768,1716,397202,5774610,635,m,2011,January,1,1,1,2011,01/01/2011,1,22,22,40544,Centre outer forebay,Confluence,Reservoir
109372,1970,403287,5772706,555,f,2011,January,1,1,1,2011,01/01/2011,1,22,22,40544,SE Red rock,Confluence,Reservoir
109372,1970,403287,5772706,555,f,2011,January,1,1,1,2011,01/01/2011,1,23,23,40544,SE Red rock,Confluence,Reservoir
109393,1582,392356,5792694,470,m,2011,January,1,1,1,2011,01/01/2011,1,24,24,40544,Mouth of Foster Creek,Foster Creek to Hugh Allan,delta
109378,1622,400596,5781042,537,f,2011,January,1,1,1,2011,01/01/2011,1,24,24,40544,West Islands (replaced with 105468),Confluence,Reservoir
