receiver_sn,ID,x_plane,y_plane,type,location,Rec_Group,water_feature_type
105456,48,392411,5770881,hung,Forebay east intake boom,Inner forebay,Reservoir
105463,49,383755,5809833,surface,Mouth of Hugh Allen,Foster Creek to Hugh Allan,delta
107321,50,392169,5770962,hung,Forebay west intake boom,Inner forebay,Reservoir
107322,51,368558,5831179,surface,Between Bulldog and Ptarmigan Creek,Between Bulldog and Ptarmigan,Reservoir
107332,52,421817,5761118,surface w thermister chain,Columbia Reach narrows,Columbia Reach Narrows to Kinbasket,Reservoir
107323,53,451867,5737471,surface,choke point before bush arm,Bush Arm,Reservoir
107324,54,374163,5827291,surface,Ptarmigan Creek,Between Bulldog and Ptarmigan,delta
107325,55,456148,5730006,surface,Gold Creek,Bush Arm,delta
107326,56,392529,5769504,shore line,tailrace (middle),Tailrace,Reservoir
107327,57,392324,5771027,hung w thermister chain,forebay middle (red barrel),Inner forebay,Reservoir
107328,58,365494,5834239,surface,bulldog creek,Between Bulldog and Ptarmigan,delta
107329,59,385911,5811705,surface,Head of Hugh Allen,Foster Creek to Hugh Allan,Alluvial valley
107330,60,458167,5729177,surface,West shore of Columbia River and Bush Arm,Bush Arm,Reservoir
107331,61,387874,5803202,surface,Upper Canoe dog leg,Foster Creek to Hugh Allan,Reservoir
107333,62,392765,5771211,hung,Forebay East boom,Inner forebay,Reservoir
107374,63,460699,5734846,surface,Bush Arm,Bush Arm,delta
109369,64,401855,5772877,surface,Red rock (middle),Confluence,Reservoir
109370,65,404815,5778642,surface,Mouth of Wood Arm,Confluence,delta
109371,66,415224,5776783,shore line,Jumping Jack Creek,Wood Arm,delta
109372,67,403287,5772706,surface,SE Red rock,Confluence,Reservoir
109373,68,429210,5756967,surface,Kinbasket Lake,Columbia Reach Narrows to Kinbasket,delta
109374,69,405691,5772105,surface,NE Red rock harbour,Confluence,Reservoir
109375,70,400016,5786507,surface,Harvey Creek,Confluence,delta
109376,71,403478,5779058,surface,The Alley,Confluence,Reservoir
109377,72,405275,5778705,surface,wood-arm (lost),Confluence,Reservoir
109378,73,400596,5781042,surface,West Islands (replaced with 105468),Confluence,Reservoir
109379,74,396221,5775179,shore line,North outer confluence,Confluence,Reservoir
109381,75,408271,5770832,surface,Yellow Creek,Confluence,delta
109382,76,458376,5729709,surface,East shore of Columbia River and Bush Arm,Bush Arm,Reservoir
109383,77,389999,5791470,surface,Head of Foster Creek,Foster Creek to Hugh Allan,Alluvial valley
109384,78,392194,5771274,surface,NE Forebay,Inner forebay,Reservoir
109385,79,420013,5781240,surface,Head of Wood Arm,Wood Arm,Alluvial valley
109386,80,398223,5774034,shore line,South outer forebay,Confluence,Reservoir
109387,81,415082,5777780,shore line,Opposite Jumping Jack Creek,Wood Arm,delta
109388,82,390250,5802279,surface w thermister chain,Lower Canoe dog leg,Foster Creek to Hugh Allan,Reservoir
109389,83,392511,5771164,surface w thermister chain,SW Forebay,Inner forebay,Reservoir
109390,84,403809,5773798,surface,Welsh Bay,Confluence,Reservoir
109391,85,401896,5781275,shore line,Molson Creek (replaced),Confluence,Reservoir
109392,86,398039,5777718,surface,Encampment Creek,Confluence,delta
109393,87,392356,5792694,surface,Mouth of Foster Creek,Foster Creek to Hugh Allan,delta
109768,88,397202,5774610,surface,Centre outer forebay,Confluence,Reservoir
109769,89,433698,5754232,surface,Mouth of Sullivan Creek,Columbia Reach Narrows to Kinbasket,delta
109770,90,436924,5756670,surface,Head of Sullivan Creek,Columbia Reach Narrows to Kinbasket,Alluvial valley
